grupo,f_stat,r2
aceites_grasas,23.98979311431904,0.01474091845435288
azucar_dulces,35.84925615941358,0.07990619936518217
bebidas_alcoholicas,55837.36623587317,0.9690581192531056
bebidas_no_alcoholicas,191.39702902373364,0.10704370974251465
cafe_te_infusiones,12.132085209977717,0.06931096036932849
carnes_rojas,118.18293205111739,0.2987357490801258
comida_fuera_hogar,154.51036453832955,0.12725009393633302
frutas,103.80951515876167,0.20390337476331044
frutos_secos_semillas,3302.991128288408,0.6657104712059548
lacteos_huevos,31.230843148986697,0.10242710023275003
menestras,243.18928064365434,0.2667779903399998
pan_pasteleria_cereales,71.44643119108922,0.17976963642906585
pescados_mariscos,18.901526634015198,0.08953985530481057
pollo_aves,67.63089730096972,0.06297316446629819
verduras_hortalizas,34.190889994143255,0.25416293213428487
